contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiry,type,mid,pull_date,spread,spread_mid_ratio,S0,dividend_yield,T,market_iv,K,fitted_v0,fitted_kappa,fitted_theta,fitted_sigma_v,fitted_rho,sparse_gp_predicted_iv,iv_residual,iv_squared_error
SPY260706C00625000,2026-07-02 14:39:40+00:00,625.0,123.71,117.82,121.34,1.7699966,1.4515308,30.0,31,1.1821329956054685,True,REGULAR,USD,2026-07-06,call,119.58,2026-07-04,3.52,0.0294363606,744.7800293,0.01010365437,0.005479452054794521,1.1821329956054685,83.91739512503064,0.03252646407638552,0.1001058627817415,0.14197989046534842,0.9993863554271026,-0.9495768662885722,0.30860014776766387,-0.8735328478378046,0.7630596362516251
SPY260706C00660000,2026-06-29 13:34:02+00:00,660.0,87.6,82.83,86.35,8.729996,11.068842,6.0,26,0.8781750463867187,True,REGULAR,USD,2026-07-06,call,84.59,2026-07-04,3.52,0.04161248375,744.7800293,0.01010365437,0.005479452054794521,0.8781750463867187,88.61676925203236,0.03252646407638552,0.1001058627817415,0.14197989046534842,0.9993863554271026,-0.9495768662885722,0.2782615387984937,-0.599913507588225,0.3598962165868073
SPY260706C00670000,2026-07-01 14:37:02+00:00,670.0,75.09,72.83,76.35,-1.9100037,-2.4805243,2.0,12,0.79101771484375,True,REGULAR,USD,2026-07-06,call,74.59,2026-07-04,3.52,0.04719131251,744.7800293,0.01010365437,0.005479452054794521,0.79101771484375,89.95944757403285,0.03252646407638552,0.1001058627817415,0.14197989046534842,0.9993863554271026,-0.9495768662885722,0.2697143489519748,-0.5213033658917752,0.271757199290094
SPY260706C00700000,2026-07-02 19:57:25+00:00,700.0,45.14,42.84,46.36,-1.7299995,-3.6910594,122.0,5,0.5271043383789062,True,REGULAR,USD,2026-07-06,call,44.6,2026-07-04,3.52,0.07892376682,744.7800293,0.01010365437,0.005479452054794521,0.5271043383789062,93.98748254003432,0.03252646407638552,0.1001058627817415,0.14197989046534842,0.9993863554271026,-0.9495768662885722,0.23836651601917608,-0.28873782235973017,0.08336953006103909
SPY260706C00703000,2026-06-30 19:18:29+00:00,703.0,45.68,39.84,43.36,0.0,0.0,8.0,8,0.500005,True,REGULAR,USD,2026-07-06,call,41.6,2026-07-04,3.52,0.08461538462,744.7800293,0.01010365437,0.005479452054794521,0.500005,94.39028603663446,0.03252646407638552,0.1001058627817415,0.14197989046534842,0.9993863554271026,-0.9495768662885722,0.23461243008797622,-0.2653925699120238,0.07043321616450844
SPY260706C00705000,2026-07-02 17:18:15+00:00,705.0,36.97,37.85,41.36,2.6500015,7.7214494,1.0,16,0.4819387744140625,True,REGULAR,USD,2026-07-06,call,39.605,2026-07-04,3.51,0.08862517359,744.7800293,0.01010365437,0.005479452054794521,0.4819387744140625,94.65882170103457,0.03252646407638552,0.1001058627817415,0.14197989046534842,0.9993863554271026,-0.9495768662885722,0.23204712038119113,-0.2498916540328714,0.06244583875528429
SPY260706C00706000,2026-06-29 17:54:49+00:00,706.0,35.34,36.89,40.36,0.0,0.0,29.0,31,0.4726615234375,True,REGULAR,USD,2026-07-06,call,38.625,2026-07-04,3.47,0.0898381877,744.7800293,0.01010365437,0.005479452054794521,0.4726615234375,94.7930895332346,0.03252646407638552,0.1001058627817415,0.14197989046534842,0.9993863554271026,-0.9495768662885722,0.23074627468569175,-0.24191524875180825,0.058522987578649266
SPY260706C00709000,2026-07-02 19:55:51+00:00,709.0,35.64,33.85,37.36,8.83,32.935474,2.0,4,0.4451959777832031,True,REGULAR,USD,2026-07-06,call,35.605000000000004,2026-07-04,3.51,0.09858165988,744.7800293,0.01010365437,0.005479452054794521,0.4451959777832031,95.19589302983476,0.03252646407638552,0.1001058627817415,0.14197989046534842,0.9993863554271026,-0.9495768662885722,0.22677393400869808,-0.218422043774505,0.04770818920663178
SPY260706C00710000,2026-07-02 19:55:50+00:00,710.0,34.66,32.85,36.36,4.67,15.571858,11.0,23,0.4359187268066406,True,REGULAR,USD,2026-07-06,call,34.605000000000004,2026-07-04,3.51,0.1014304291,744.7800293,0.01010365437,0.005479452054794521,0.4359187268066406,95.3301608620348,0.03252646407638552,0.1001058627817415,0.14197989046534842,0.9993863554271026,-0.9495768662885722,0.22542750864763902,-0.2104912181590016,0.044306552922060406
SPY260706C00711000,2026-07-02 19:54:19+00:00,711.0,33.17,31.85,35.37,-3.9900017,-10.737356,2.0,7,0.4274959594726563,True,REGULAR,USD,2026-07-06,call,33.61,2026-07-04,3.52,0.1047307349,744.7800293,0.01010365437,0.005479452054794521,0.4274959594726563,95.46442869423485,0.03252646407638552,0.1001058627817415,0.14197989046534842,0.9993863554271026,-0.9495768662885722,0.2240704625759928,-0.20342549689666348,0.041381932787654445
